,datetime,rtt
0,2019-01-01 12:50:14,37.974
1,2019-01-01 12:50:14,31.126
2,2019-01-01 12:50:15,43.571
3,2019-01-01 12:50:15,35.864
4,2019-01-01 12:50:15,31.909
5,2019-01-01 12:50:15,35.782
6,2019-01-01 12:50:16,39.981
7,2019-01-01 12:50:17,34.703
8,2019-01-01 12:50:17,37.340
9,2019-01-01 12:50:17,30.639
10,2019-01-01 12:50:17,41.711
11,2019-01-01 12:50:18,32.996
12,2019-01-01 12:50:18,33.504
13,2019-01-01 12:50:19,33.187
14,2019-01-01 12:50:19,37.593
15,2019-01-01 12:50:20,31.490
16,2019-01-01 12:52:06,29.710
17,2019-01-01 12:52:14,29.518
18,2019-01-01 12:52:38,30.230
19,2019-01-01 12:52:38,35.077
20,2019-01-01 12:52:39,30.279
21,2019-01-01 12:52:40,30.206
22,2019-01-01 12:52:45,29.861
23,2019-01-01 12:53:34,30.394
24,2019-01-01 12:53:34,29.858
25,2019-01-01 12:53:41,30.782
26,2019-01-01 12:53:46,29.790
27,2019-01-01 12:54:18,29.459
28,2019-01-01 12:54:27,29.419
29,2019-01-01 12:54:31,32.579
30,2019-01-01 12:54:52,30.360
31,2019-01-01 12:54:52,33.328
32,2019-01-01 12:54:52,30.920
33,2019-01-01 12:54:53,33.389
34,2019-01-01 12:54:54,32.243
35,2019-01-01 12:54:54,29.502
36,2019-01-01 12:54:55,31.899
37,2019-01-01 12:54:55,36.925
38,2019-01-01 12:55:47,31.477
39,2019-01-01 12:58:38,30.732
40,2019-01-01 12:58:38,33.037
41,2019-01-01 12:58:38,31.350
42,2019-01-01 12:58:38,30.862
43,2019-01-01 12:58:38,32.192
44,2019-01-01 12:58:39,31.382
45,2019-01-01 12:58:40,32.019
46,2019-01-01 12:58:40,32.435
47,2019-01-01 12:58:41,34.173
48,2019-01-01 12:58:41,33.126
49,2019-01-01 12:58:42,29.751
50,2019-01-01 12:58:42,33.762
51,2019-01-01 12:58:42,38.204
52,2019-01-01 12:58:42,29.757
53,2019-01-01 13:00:06,31.377
54,2019-01-01 13:00:12,35.133
55,2019-01-01 13:00:46,35.286
56,2019-01-01 13:01:14,32.959
57,2019-01-01 13:01:15,34.042
58,2019-01-01 13:01:16,34.955
59,2019-01-01 13:01:17,30.392
60,2019-01-01 13:01:18,31.730
61,2019-01-01 13:01:25,32.386
62,2019-01-01 13:02:19,35.401
63,2019-01-01 13:02:20,30.164
64,2019-01-01 13:02:55,32.493
65,2019-01-01 13:02:55,29.704
66,2019-01-01 13:02:57,31.914
67,2019-01-01 13:02:57,30.353
68,2019-01-01 13:03:30,34.029
69,2019-01-01 13:03:31,34.686
70,2019-01-01 13:03:31,32.625
71,2019-01-01 13:03:31,32.229
72,2019-01-01 13:04:25,32.746
73,2019-01-01 13:07:26,32.126
74,2019-01-01 13:07:27,33.616
75,2019-01-01 13:07:27,33.774
76,2019-01-01 13:07:28,33.740
77,2019-01-01 13:07:30,34.834
78,2019-01-01 13:07:33,34.411
79,2019-01-01 13:09:32,32.392
80,2019-01-01 13:09:40,32.787
81,2019-01-01 13:09:41,33.412
82,2019-01-01 13:09:54,35.908
83,2019-01-01 13:09:54,31.420
84,2019-01-01 13:10:03,35.911
85,2019-01-01 13:10:04,36.834
86,2019-01-01 13:10:07,38.060
87,2019-01-01 13:10:59,32.077
88,2019-01-01 13:11:00,34.041
89,2019-01-01 13:11:04,31.218
90,2019-01-01 13:11:13,32.715
91,2019-01-01 13:11:44,35.131
92,2019-01-01 13:11:48,32.647
93,2019-01-01 13:12:25,31.686
94,2019-01-01 13:12:25,31.167
95,2019-01-01 13:12:25,38.049
96,2019-01-01 13:12:27,31.046
97,2019-01-01 13:12:27,37.737
98,2019-01-01 13:12:28,38.455
99,2019-01-01 13:12:28,32.819
100,2019-01-01 13:12:31,30.042
101,2019-01-01 13:13:15,32.624
102,2019-01-01 13:13:17,37.813
103,2019-01-01 13:16:53,29.935
104,2019-01-01 13:16:53,29.427
105,2019-01-01 13:16:54,30.167
106,2019-01-01 13:16:54,29.226
107,2019-01-01 13:16:55,29.808
108,2019-01-01 13:16:56,29.583
109,2019-01-01 13:16:56,29.918
110,2019-01-01 13:16:57,30.168
111,2019-01-01 13:16:57,29.813
112,2019-01-01 13:16:57,29.931
113,2019-01-01 13:16:58,31.153
114,2019-01-01 13:16:58,30.524
115,2019-01-01 13:18:14,29.337
116,2019-01-01 13:18:17,29.229
117,2019-01-01 13:18:59,30.739
118,2019-01-01 13:19:17,29.944
119,2019-01-01 13:19:17,30.450
120,2019-01-01 13:19:20,30.729
121,2019-01-01 13:19:24,31.563
122,2019-01-01 13:19:25,39.607
123,2019-01-01 13:20:14,32.721
124,2019-01-01 13:20:16,45.172
125,2019-01-01 13:20:16,37.105
126,2019-01-01 13:20:18,32.691
127,2019-01-01 13:20:59,38.947
128,2019-01-01 13:21:10,43.726
129,2019-01-01 13:21:34,45.729
130,2019-01-01 13:21:35,33.927
131,2019-01-01 13:21:36,30.691
132,2019-01-01 13:21:43,45.454
133,2019-01-01 13:22:26,29.998
134,2019-01-01 13:22:26,29.637
135,2019-01-01 13:22:26,30.959
136,2019-01-01 13:22:28,30.647
137,2019-01-01 13:22:28,30.070
138,2019-01-01 13:22:29,31.753
139,2019-01-01 13:23:08,33.483
140,2019-01-01 13:26:02,34.522
141,2019-01-01 13:26:03,34.681
142,2019-01-01 13:26:03,34.002
143,2019-01-01 13:26:03,30.134
144,2019-01-01 13:26:04,33.973
145,2019-01-01 13:26:04,34.298
146,2019-01-01 13:26:04,31.977
147,2019-01-01 13:26:04,34.937
148,2019-01-01 13:27:22,31.526
149,2019-01-01 13:28:02,39.213
150,2019-01-01 13:28:03,32.409
151,2019-01-01 13:28:05,29.614
152,2019-01-01 13:28:37,37.267
153,2019-01-01 13:28:38,29.708
154,2019-01-01 13:28:39,30.161
155,2019-01-01 13:28:40,29.910
156,2019-01-01 13:30:14,37.921
157,2019-01-01 13:30:14,37.593
158,2019-01-01 13:30:18,36.898
159,2019-01-01 13:30:53,30.848
160,2019-01-01 13:30:54,32.907
161,2019-01-01 13:30:54,31.791
162,2019-01-01 13:30:56,31.508
163,2019-01-01 13:30:57,34.926
164,2019-01-01 13:31:46,33.834
165,2019-01-01 13:31:48,31.753
166,2019-01-01 13:31:49,39.026
167,2019-01-01 13:31:49,29.569
168,2019-01-01 13:35:09,39.128
169,2019-01-01 13:35:10,32.673
170,2019-01-01 13:35:11,34.820
171,2019-01-01 13:35:11,37.334
172,2019-01-01 13:35:11,39.935
173,2019-01-01 13:35:12,40.670
174,2019-01-01 13:35:12,32.953
175,2019-01-01 13:35:13,40.277
176,2019-01-01 13:35:14,37.574
177,2019-01-01 13:35:14,36.982
178,2019-01-01 13:37:23,33.806
179,2019-01-01 13:37:53,33.824
180,2019-01-01 13:37:54,34.309
181,2019-01-01 13:37:55,32.650
182,2019-01-01 13:37:55,31.125
183,2019-01-01 13:37:58,34.188
184,2019-01-01 13:39:32,33.380
185,2019-01-01 13:40:10,29.124
186,2019-01-01 13:40:12,34.640
187,2019-01-01 13:40:13,33.731
188,2019-01-01 13:40:13,30.405
189,2019-01-01 13:40:15,34.556
190,2019-01-01 13:41:03,51.371
191,2019-01-01 13:41:04,30.954
192,2019-01-01 13:41:06,33.839
193,2019-01-01 13:43:55,32.938
194,2019-01-01 13:43:55,31.770
195,2019-01-01 13:43:56,32.565
196,2019-01-01 13:43:56,30.546
197,2019-01-01 13:43:57,33.197
198,2019-01-01 13:43:57,30.571
199,2019-01-01 13:43:58,33.025
200,2019-01-01 13:43:58,32.058
201,2019-01-01 13:43:59,31.588
202,2019-01-01 13:44:00,31.630
203,2019-01-01 13:44:00,32.091
204,2019-01-01 13:44:00,32.327
205,2019-01-01 13:44:03,32.994
206,2019-01-01 13:45:19,34.087
207,2019-01-01 13:46:03,39.745
208,2019-01-01 13:46:04,36.182
209,2019-01-01 13:46:35,36.946
210,2019-01-01 13:46:36,30.160
211,2019-01-01 13:46:36,31.415
212,2019-01-01 13:46:36,37.217
213,2019-01-01 13:46:36,40.232
214,2019-01-01 13:46:37,35.626
215,2019-01-01 13:46:40,31.789
216,2019-01-01 13:46:41,34.935
217,2019-01-01 13:46:46,29.541
218,2019-01-01 13:47:44,38.770
219,2019-01-01 13:48:17,30.280
220,2019-01-01 13:48:18,30.992
221,2019-01-01 13:48:22,31.374
222,2019-01-01 13:48:31,32.731
223,2019-01-01 13:48:56,31.801
224,2019-01-01 13:48:58,30.634
225,2019-01-01 13:48:58,29.904
226,2019-01-01 13:48:59,31.206
227,2019-01-01 13:48:59,31.400
228,2019-01-01 13:52:34,37.501
229,2019-01-01 13:52:34,32.824
230,2019-01-01 13:52:34,29.624
231,2019-01-01 13:52:35,30.023
232,2019-01-01 13:52:35,29.939
233,2019-01-01 13:52:36,31.376
234,2019-01-01 13:52:36,29.884
235,2019-01-01 13:52:37,29.578
236,2019-01-01 13:52:37,32.379
237,2019-01-01 13:52:37,30.353
238,2019-01-01 13:52:37,37.442
239,2019-01-01 13:52:38,32.092
240,2019-01-01 13:52:38,29.738
241,2019-01-01 13:52:39,29.868
242,2019-01-01 13:54:00,34.271
243,2019-01-01 13:54:10,30.307
244,2019-01-01 13:54:11,30.653
245,2019-01-01 13:54:41,29.629
246,2019-01-01 13:54:51,36.983
247,2019-01-01 13:54:52,39.742
248,2019-01-01 13:54:52,37.332
249,2019-01-01 13:54:52,36.152
250,2019-01-01 13:54:55,35.989
251,2019-01-01 13:55:22,38.103
252,2019-01-01 13:55:23,35.453
253,2019-01-01 13:55:23,35.001
254,2019-01-01 13:55:26,44.553
255,2019-01-01 13:55:26,38.673
256,2019-01-01 13:55:29,43.388
257,2019-01-01 13:56:17,39.711
258,2019-01-01 13:56:51,31.653
259,2019-01-01 13:56:51,33.193
260,2019-01-01 13:56:51,33.235
261,2019-01-01 13:56:52,30.761
262,2019-01-01 13:56:55,33.964
263,2019-01-01 13:57:33,33.925
264,2019-01-01 13:57:34,33.622
265,2019-01-01 13:57:35,29.624
266,2019-01-01 13:57:36,34.583
267,2019-01-01 13:57:42,32.027
268,2019-01-01 13:58:32,33.326
269,2019-01-01 13:58:34,33.317
270,2019-01-01 14:01:00,31.866
271,2019-01-01 14:01:01,35.269
272,2019-01-01 14:01:01,32.804
273,2019-01-01 14:01:02,34.794
274,2019-01-01 14:01:03,34.799
275,2019-01-01 14:01:03,32.684
276,2019-01-01 14:01:04,34.983
277,2019-01-01 14:01:05,41.717
278,2019-01-01 14:03:11,35.349
279,2019-01-01 14:03:18,34.406
280,2019-01-01 14:03:22,32.317
281,2019-01-01 14:03:22,35.616
282,2019-01-01 14:03:52,29.370
283,2019-01-01 14:03:54,31.277
284,2019-01-01 14:03:54,34.581
285,2019-01-01 14:03:54,31.925
286,2019-01-01 14:03:55,29.650
287,2019-01-01 14:04:55,34.634
288,2019-01-01 14:05:27,35.793
289,2019-01-01 14:05:32,38.092
290,2019-01-01 14:05:33,36.820
291,2019-01-01 14:05:33,39.025
292,2019-01-01 14:05:39,35.842
293,2019-01-01 14:06:11,34.655
294,2019-01-01 14:06:11,30.172
295,2019-01-01 14:06:14,38.831
296,2019-01-01 14:07:04,31.964
297,2019-01-01 14:09:58,34.489
298,2019-01-01 14:09:58,43.747
299,2019-01-01 14:09:59,45.332
300,2019-01-01 14:10:00,38.661
301,2019-01-01 14:10:01,38.352
302,2019-01-01 14:10:01,40.660
303,2019-01-01 14:10:02,33.683
304,2019-01-01 14:10:02,38.264
305,2019-01-01 14:11:19,31.439
306,2019-01-01 14:11:20,37.330
307,2019-01-01 14:11:58,37.398
308,2019-01-01 14:12:29,30.283
309,2019-01-01 14:13:26,32.561
310,2019-01-01 14:13:26,31.243
311,2019-01-01 14:13:34,31.665
312,2019-01-01 14:14:10,32.804
313,2019-01-01 14:14:50,36.603
314,2019-01-01 14:14:51,32.999
315,2019-01-01 14:15:48,37.149
316,2019-01-01 14:15:48,39.532
317,2019-01-01 14:18:52,32.166
318,2019-01-01 14:18:53,29.574
319,2019-01-01 14:18:53,29.630
320,2019-01-01 14:18:54,29.528
321,2019-01-01 14:19:00,30.043
322,2019-01-01 14:20:54,39.772
323,2019-01-01 14:21:24,30.879
324,2019-01-01 14:21:26,33.676
325,2019-01-01 14:21:26,33.491
326,2019-01-01 14:21:27,37.269
327,2019-01-01 14:21:34,41.852
328,2019-01-01 14:23:14,29.920
329,2019-01-01 14:23:49,31.275
330,2019-01-01 14:23:49,29.524
331,2019-01-01 14:23:51,29.548
332,2019-01-01 14:23:51,30.486
333,2019-01-01 14:23:52,33.405
334,2019-01-01 14:23:53,29.649
335,2019-01-01 14:23:54,30.618
336,2019-01-01 14:23:57,31.502
337,2019-01-01 14:23:57,33.091
338,2019-01-01 14:27:43,30.219
339,2019-01-01 14:27:43,34.376
340,2019-01-01 14:27:43,30.028
341,2019-01-01 14:27:44,37.416
342,2019-01-01 14:27:45,34.799
343,2019-01-01 14:27:45,36.685
344,2019-01-01 14:29:04,29.307
345,2019-01-01 14:29:45,29.905
346,2019-01-01 14:29:47,30.372
347,2019-01-01 14:29:58,29.308
348,2019-01-01 14:29:58,31.306
349,2019-01-01 14:29:59,40.438
350,2019-01-01 14:30:25,40.640
351,2019-01-01 14:30:26,39.343
352,2019-01-01 14:30:27,38.187
353,2019-01-01 14:31:34,29.602
354,2019-01-01 14:31:34,31.306
355,2019-01-01 14:32:06,31.399
356,2019-01-01 14:32:40,30.954
357,2019-01-01 14:32:42,30.820
358,2019-01-01 14:32:43,32.834
359,2019-01-01 14:32:43,31.483
360,2019-01-01 14:32:44,29.756
361,2019-01-01 14:32:44,34.117
362,2019-01-01 14:32:44,33.973
363,2019-01-01 14:33:36,32.711
364,2019-01-01 14:33:42,32.597
365,2019-01-01 14:36:29,32.620
366,2019-01-01 14:36:29,36.006
367,2019-01-01 14:36:30,37.174
368,2019-01-01 14:36:30,31.737
369,2019-01-01 14:36:31,33.366
370,2019-01-01 14:36:31,34.435
371,2019-01-01 14:36:32,38.753
372,2019-01-01 14:36:32,34.465
373,2019-01-01 14:36:33,31.189
374,2019-01-01 14:37:49,30.127
375,2019-01-01 14:38:24,30.292
376,2019-01-01 14:38:37,30.418
377,2019-01-01 14:38:49,30.072
378,2019-01-01 14:38:50,30.816
379,2019-01-01 14:39:01,32.395
380,2019-01-01 14:39:51,34.166
