,datetime,rtt
0,2019-01-01 12:50:14,17.379
1,2019-01-01 12:50:15,19.181
2,2019-01-01 12:50:16,22.743
3,2019-01-01 12:50:16,16.934
4,2019-01-01 12:50:17,13.639
5,2019-01-01 12:50:17,18.739
6,2019-01-01 12:50:17,14.838
7,2019-01-01 12:50:18,13.071
8,2019-01-01 12:50:18,17.892
9,2019-01-01 12:50:18,18.470
10,2019-01-01 12:50:19,14.966
11,2019-01-01 12:52:06,10.846
12,2019-01-01 12:52:08,11.598
13,2019-01-01 12:52:14,12.213
14,2019-01-01 12:52:14,15.728
15,2019-01-01 12:52:14,10.593
16,2019-01-01 12:52:37,18.669
17,2019-01-01 12:52:38,15.747
18,2019-01-01 12:52:39,10.592
19,2019-01-01 12:52:39,11.531
20,2019-01-01 12:52:40,10.333
21,2019-01-01 12:52:40,12.400
22,2019-01-01 12:52:44,10.644
23,2019-01-01 12:53:39,11.504
24,2019-01-01 12:54:19,14.760
25,2019-01-01 12:54:23,14.696
26,2019-01-01 12:54:53,12.903
27,2019-01-01 12:54:54,12.741
28,2019-01-01 12:54:56,18.452
29,2019-01-01 12:55:45,13.643
30,2019-01-01 12:55:45,23.160
31,2019-01-01 12:55:45,13.379
32,2019-01-01 12:55:45,14.445
33,2019-01-01 12:55:45,13.343
34,2019-01-01 12:55:50,13.208
35,2019-01-01 12:56:32,15.933
36,2019-01-01 12:56:32,38.033
37,2019-01-01 12:58:38,11.076
38,2019-01-01 12:58:38,10.685
39,2019-01-01 12:58:39,15.711
40,2019-01-01 12:58:39,17.814
41,2019-01-01 12:58:40,11.591
42,2019-01-01 12:58:41,13.256
43,2019-01-01 12:58:41,13.088
44,2019-01-01 12:58:41,13.115
45,2019-01-01 12:58:42,13.696
46,2019-01-01 12:58:42,13.152
47,2019-01-01 12:58:42,14.436
48,2019-01-01 12:58:42,13.534
49,2019-01-01 12:58:42,11.159
50,2019-01-01 12:58:42,10.507
51,2019-01-01 13:00:06,14.007
52,2019-01-01 13:00:44,11.376
53,2019-01-01 13:01:15,14.563
54,2019-01-01 13:01:15,12.229
55,2019-01-01 13:01:15,12.636
56,2019-01-01 13:01:15,17.875
57,2019-01-01 13:01:17,10.909
58,2019-01-01 13:01:17,22.776
59,2019-01-01 13:01:21,18.677
60,2019-01-01 13:02:19,12.794
61,2019-01-01 13:02:20,19.941
62,2019-01-01 13:02:20,12.961
63,2019-01-01 13:02:20,14.560
64,2019-01-01 13:02:56,13.586
65,2019-01-01 13:03:30,13.169
66,2019-01-01 13:03:31,14.482
67,2019-01-01 13:03:31,13.254
68,2019-01-01 13:03:32,15.783
69,2019-01-01 13:03:33,10.629
70,2019-01-01 13:03:33,15.651
71,2019-01-01 13:03:33,14.112
72,2019-01-01 13:03:34,15.164
73,2019-01-01 13:03:35,13.811
74,2019-01-01 13:03:39,12.764
75,2019-01-01 13:04:25,12.686
76,2019-01-01 13:04:25,11.758
77,2019-01-01 13:04:26,12.285
78,2019-01-01 13:04:26,11.768
79,2019-01-01 13:04:29,12.096
80,2019-01-01 13:04:35,12.321
81,2019-01-01 13:07:26,13.545
82,2019-01-01 13:07:28,17.030
83,2019-01-01 13:07:28,13.457
84,2019-01-01 13:07:28,11.791
85,2019-01-01 13:07:28,15.477
86,2019-01-01 13:07:28,16.338
87,2019-01-01 13:09:00,10.577
88,2019-01-01 13:09:26,10.729
89,2019-01-01 13:09:28,15.312
90,2019-01-01 13:09:29,13.618
91,2019-01-01 13:09:29,19.465
92,2019-01-01 13:09:40,15.623
93,2019-01-01 13:09:41,12.983
