,datetime,rtt
0,2019-01-01 12:50:15,29.445
1,2019-01-01 12:50:17,29.688
2,2019-01-01 12:50:17,32.005
3,2019-01-01 12:50:17,26.295
4,2019-01-01 12:50:19,32.008
5,2019-01-01 12:51:37,27.533
6,2019-01-01 12:51:37,25.089
7,2019-01-01 12:52:13,23.075
8,2019-01-01 12:52:38,26.082
9,2019-01-01 12:52:38,25.089
10,2019-01-01 12:52:40,24.206
11,2019-01-01 12:52:41,24.355
12,2019-01-01 12:52:41,24.511
13,2019-01-01 12:52:41,24.508
14,2019-01-01 12:52:43,23.053
15,2019-01-01 12:52:45,25.868
16,2019-01-01 12:52:46,24.401
17,2019-01-01 12:53:35,25.689
18,2019-01-01 12:54:53,31.143
19,2019-01-01 12:54:53,31.689
20,2019-01-01 12:54:55,28.749
21,2019-01-01 12:54:58,30.520
22,2019-01-01 12:55:44,30.618
23,2019-01-01 12:55:45,30.719
24,2019-01-01 12:55:46,31.686
25,2019-01-01 12:55:46,24.530
26,2019-01-01 12:58:38,26.855
27,2019-01-01 12:58:38,27.295
28,2019-01-01 12:58:38,26.849
29,2019-01-01 12:58:39,23.438
30,2019-01-01 12:58:39,27.164
31,2019-01-01 12:58:39,26.328
32,2019-01-01 12:58:40,25.989
33,2019-01-01 12:58:41,26.833
34,2019-01-01 12:58:43,28.443
35,2019-01-01 13:00:46,26.610
36,2019-01-01 13:00:47,34.128
37,2019-01-01 13:00:47,30.471
38,2019-01-01 13:01:14,32.828
39,2019-01-01 13:01:18,31.839
40,2019-01-01 13:01:18,24.875
41,2019-01-01 13:01:18,31.030
42,2019-01-01 13:01:19,41.457
43,2019-01-01 13:02:19,29.771
44,2019-01-01 13:02:19,28.797
45,2019-01-01 13:02:56,23.621
46,2019-01-01 13:02:57,24.559
47,2019-01-01 13:03:30,23.728
48,2019-01-01 13:03:30,25.818
49,2019-01-01 13:03:30,26.068
50,2019-01-01 13:03:31,23.861
51,2019-01-01 13:03:32,26.848
52,2019-01-01 13:03:34,28.954
53,2019-01-01 13:04:26,26.764
54,2019-01-01 13:04:26,24.764
55,2019-01-01 13:04:29,23.037
56,2019-01-01 13:07:25,25.171
57,2019-01-01 13:07:26,26.914
58,2019-01-01 13:07:26,71.145
59,2019-01-01 13:07:27,23.829
60,2019-01-01 13:07:27,27.889
61,2019-01-01 13:07:29,24.673
62,2019-01-01 13:07:30,27.242
63,2019-01-01 13:08:53,32.458
64,2019-01-01 13:09:00,26.916
65,2019-01-01 13:09:00,24.296
66,2019-01-01 13:09:39,27.001
67,2019-01-01 13:09:54,27.008
68,2019-01-01 13:09:54,23.437
69,2019-01-01 13:10:04,36.046
